Hymn_Title,Hymn_Number,Rating,Type,Sunday Morning,Sunday_Evening,Sunday_Morning,Midweek,Other_Services
"LORD, BLESS OUR HOME (F)",635,,,,,,,
"LORD, HERE AM I (C)",653,,,,,,,
"Lord, I give my life to You (F)",638,,,,,,,
"Lord, I give You what I cannot keep (F)",649,,,,,,,
"LORD, I NEED YOU (D)",505,,,,,,,
"LORD, I’M COMING HOME (G)",483,,,,,,,
"Lord Jesus, I give Thee ev’rything (C)",407,,,,,,,
"Lord Jesus, I long to be perfectly whole (G)",498,,,,,,,
"LORD, LAY SOME SOUL UPON MY HEART (Db)",648,,,,,,,
LORD OF MY HEART (Bb),471,,,,,,,
"LORD, SEND ME ANYWHERE (Bb)",654,,,,,,,
"LORD, SPEAK TO ME (G)",438,,,,,,,
"Lord, You are more precious than silver (F)",95,,,,,,,
"LORD, YOU’VE BEEN FAITHFUL (D)",120,,,,,,,
"LOVE DIVINE, ALL LOVES EXCELLING (Ab)",100,,,,,,,
"Love divine, so great and wondrous (G)",608,,,,,,,
LOVE LIFTED ME (Bb),115,,,,,,,
Love sent my Savior to die in my stead (Bb),101,,,,,,,
Loved with everlasting love (D),185,,,,,,,
Low in the grave He lay (Bb),325,,,,,,,
MAJESTIC SWEETNESS SITS ENTHRONED (Ab),78,,,,,,,
MAKE ME A BLESSING (Bb),437,,,,,,,
MAKE ME A SERVANT (G),430,,,,,,,
"Make me a servant like You, dear Lord (Eb)",431,,,,,,,
MAKE ME A STRANGER (D),432,,,,,,,
“Man of sorrows!” What a name (Bb/C),286,,,,,,,
Mankind is searching ev’ry day (Eb),447,,,,,,,
MANSION OVER THE HILLTOP (C),629,,,,,,,
Many now are watching the footsteps (F),401,,,,,,,
MARCH OF THE WISE MEN (Dm),234,,,,,,,
Marvelous grace of our loving Lord (G),122,,,,,,,
Marvelous message we bring (Bb),589,,,,,,,
"Master Potter, why do You labor all day (F)",439,,,,,,,
"MASTER, THE TEMPEST IS RAGING (Bb)",543,,,,,,,
"Master, Thou callest; I gladly obey (C)",653,,,,,,,
MAY THE LORD FIND US FAITHFUL (F),429,,,,,,,
"MAY THE MIND OF CHRIST, MY SAVIOR (Eb)",169,,,,,,,
May we be a shining light to the nations (Ab),468,,,,,,,
MAYBE TODAY (F),582,,,,,,,
MERCIES ANEW (C),94,,,,,,,
Mine eyes have seen the glory (Bb/C),701,,,,,,,
MOLDING A MASTERPIECE (F),439,,,,,,,
MOMENT BY MOMENT (F),503,,,,,,,
MORE ABOUT JESUS (G),433,,,,,4/16/2017,,
MORE LOVE (Cm),110,,,,,,,
MORE LOVE TO THEE (G),473,,,,,,,
MORE PRECIOUS THAN SILVER (F),95,,,,,,,
MUST JESUS BEAR THE CROSS ALONE? (Ab),287,,,,,,,
MY ANCHOR HOLDS (Bb),178,,,,,,,
"MY COUNTRY, ‘TIS OF THEE (F)",698,,,,,,,
MY DESIRE (C),394,,,,,,,
MY FAITH HAS FOUND A RESTING PLACE (G),389,,,,,,,
MY FAITH LOOKS UP TO THEE (D),378,,,,,,,
My Father is omnipotent (G),368,,,,,,,
My Father is rich in houses and lands (D),186,,,,,,,
MY FATHER PLANNED IT ALL (F),145,,,,,,,
MY GOD IS A RIGHTEOUS GOD (Eb),98,,,,,,,
My heart can sing when I pause to remember (Bb),598,,,,,,,
My heart overflows with praise to the Lord (G),53,,,,,,,
MY HEART’S PRAYER (Eb),517,,,,,,,
My hope is built on nothing less (CONNIE LYNN) (C) ,380,,,,,,,
My hope is built on nothing less (SOLID ROCK) (F),383,,,,,,,
MY HOPE IS IN THE LORD (G),344,,,,,,,
"MY JESUS, FAIR (D)",316,,,,,,,
"MY JESUS, I LOVE THEE (F)",472,,,,,,,
"My life I give to You, O Lord (Bb)",681,,,,,,,
MY LIFE IS THINE (C),407,,,,,,,
MY LIFE IS YOURS TO CONTROL (G),418,,,,,,,
"My life, my love I give to Thee (F)",319,,,,,,,
My Lord has garments so wondrous fine (Eb),611,,,,,,,
My Lord will come; it may be soon (F),582,,,,,,,
My new life I owe to Thee (Eb),517,,,,,,,
MY SHEPHERD WILL SUPPLY MY NEED (C),146,,,,,,,
"MY SINS ARE BLOTTED OUT, I KNOW (Ab)",339,,,,,,,
MY SONG (C),62,,,,,,,
My soul in sad exile was out on life’s sea (G),527,,,,,,,
MY TIMES ARE IN THY HAND (D),624,,,,,,,
MY WONDERFUL LORD (F),117,,,,,,,
Naught have I gotten but what I received (Bb),356,,,,,,,
NEAR THE CROSS (F),313,,,,,,,
NEAR TO THE HEART OF GOD (C),510,,,,,,,
"NEARER, MY GOD, TO THEE (F)",502,,,,,,,
"NEARER, STILL NEARER (Db)",511,,,,,,,
"NO, NOT ONE! (F)",271,,,,,,,
NO ONE EVER CARED FOR ME LIKE JESUS (C),155,,,,,,,
NO ONE UNDERSTANDS LIKE JESUS (C),684,,,,,,,
NO OTHER NAME (C),345,,,,,,,
"NOT I, BUT CHRIST (Eb)",469,,,,,,,
NOTHING BETWEEN (F),501,,,,,,,
NOTHING BUT THE BLOOD (F),308,,,,,,,
NOTHING IS IMPOSSIBLE (Bb),703,,,,,,,
NOW I BELONG TO JESUS (G),352,,,,,,,
NOW THANK WE ALL OUR GOD (F),557,,,,,,,
O beautiful for spacious skies (Bb),699,,,,,,,
"O Beulah Land, sweet Beulah Land (C)",632,,,,,,,
"O CHURCH, ARISE (Eb)",661,⭐️⭐️⭐️⭐️⭐️,,,,,,
"O COME, ALL YE FAITHFUL (G/Ab)",189,,,,,,,
"O COME, O COME, EMMANUEL (Em)",208,,,,,,,
O FOR A HEART TO PRAISE MY GOD (G),20,,,,,,,
O FOR A THOUSAND TONGUES (AZMON) (G/Ab),19,,,,,,,
O FOR A THOUSAND TONGUES (LYNGHAM) (G),18,,,,,,,
O give us homes built firm upon the Savior (Eb),634,,,,,,,
"O GOD, MY JOY (Eb)",533,,,,,,,
"O GOD, OUR HELP IN AGES PAST (C)",24,,,,,,,
O GREAT GOD (C),76,,,,,,,
O HAPPY DAY (C),547,,,,,,,
O HEARKEN YE (F),222,,,,,,,
O HOLY NIGHT! (C),192,,,,,,,
O HOW HE LOVES YOU AND ME (Ab),103,,,,,,,
O HOW I LOVE JESUS (G),248,,,,,,,
O HOW I LOVE THE SAVIOR’S NAME (F),259,,,,,,,
O IT IS WONDERFUL TO BE A CHRISTIAN (Eb),463,,,,,,,
"O JESUS, I HAVE PROMISED (F)",398,,,,,,,
O LITTLE TOWN OF BETHLEHEM (F),226,,,,,,,
"O Lord, as we go from this place (Bb)",569,,,,,,,
"O Lord my God, when I in awesome wonder (Bb)",28,,,,,,,
"O Lord, since Thou hast died (Bb)",654,,,,,,,
"O Lord, Thou art my King (F)",168,,,,,,,
"O Lord, we pray “Thy will be done” (G)",686,,,,,,,
"O Lord, Your love is so vast and so wide (Cm)",110,,,,,,,
O LOVE THAT WILT NOT LET ME GO (G),109,,,,,,,
O MAGNIFY THE LORD (D),25,,,,,,,
"O MASTER, LET ME WALK WITH THEE (D)",448,,,,,,,
O MIGHTY CROSS (Db),291,,,,,,,
O now I see the cleansing wave (D),362,,,,,,,
"O SACRED HEAD, NOW WOUNDED (PHRYGIAN mode)",289,,,,,,,
O safe to the Rock that is higher than I (Eb),151,,,,,,,
"O Savior, as my eyes behold (Eb)",114,,,,,,,
"O say, can you see, by the dawn’s early light (Ab)",696,,,,,,,
"O SAY, BUT I’M GLAD (C)",526,,,,,,,
O SING A SONG OF BETHLEHEM (Em),219,,,,,,,
"O soul, are you weary and troubled? (F)",253,,,,,,,
O THAT WILL BE GLORY (G),586,,,,,,,
O THE BLOOD OF JESUS (D/Eb),282,,,,,,,
"O THE DEEP, DEEP LOVE OF JESUS (C)",99,,,,,,,
O TO BE LIKE THEE (Db),450,,,,,,,
"O what a wonderful, wonderful day (Eb)",366,,,,,,,
O WONDROUS LOVE (D),105,,,,,,,
O WORSHIP THE KING (G/Ab),27,,,,,,,
"O ZION, HASTE (Ab)",657,,,,,,,
OBEDIENCE (Eb),691,,,,,,,
"Oh, to see the dawn of the darkest day (C)",290,,,,,,,
On a hill far away stood an old rugged cross (Bb),310,,,,,,,
ON CHRIST I STAND (C),380,,,,,,,
ON JORDAN’S STORMY BANKS (Eb),615,,,,,,,
On the night Christ was born (G),223,,,,,,,
ONCE IN ROYAL DAVID’S CITY (F),196,,,,,,,
ONCE FOR ALL (Db),371,,,,,,,
ONCE TO EVERY MAN AND NATION (Em),672,,,,,,,
ONE DAY (C),595,,,,,,,
One offer of salvation to all the world make known (C) ,345,,,,,,,
ONE SMALL CHILD (Dm),235,,,,,,,
ONLY A SINNER (Bb),356,,,,,,,
ONLY BELIEVE (C),131,,,,,,,
ONLY TRUST HIM (F),478,,,,,,,
"ONWARD, CHRISTIAN SOLDIERS (Eb)",660,,,,,,,
"OPEN MY EYES, THAT I MAY SEE (Ab)",515,,,,,,,
OPEN OUR EYES (C),500,,,,,,,
OPEN OUR EYES (D),514,,,,,,,
OPENED FOR ME (G),314,,,,,,,
Our Father which art in heaven (Bb),496,,,,,,,
Our God measures man by a standard divine (C),88,,,,,,,
OUR GREAT SAVIOR (F/G),241,,,,,,,
Out in the highways and byways of life (Bb),437,,,,,,,
"Out of my bondage, sorrow, and night (G)",488,,,,,,,
"PASS ME NOT, O GENTLE SAVIOR (G)",492,,,,,,,
"PEACE, PERFECT PEACE (Bb)",548,,,,,,,
"Praise God, from Whom all blessings flow (G)",14,,,,,,,
PRAISE HIM! PRAISE HIM! (G),39,,,,,,,
"PRAISE HIM, ALL YE LITTLE CHILDREN (C)",692,,,,,,,
"PRAISE, MY SOUL, THE KING OF HEAVEN (D)",30,,,,,,,
PRAISE THE SAVIOR (G),22,,,,,,,
"PRAISE TO THE LORD, THE ALMIGHTY (F/G)",74,,,,,,,
PRAISE YE JEHOVAH (F),49,,,,,,,
Praise ye the Father for His lovingkindness (Ab),66,,,,,,,
PRAISE YE THE TRIUNE GOD (Ab),66,,,,,,,
"PRECIOUS LORD, TAKE MY HAND (G)",504,,,,,,,
PRECIOUS NAME (G),707,,,,,,,
 REDEEMED (Eb),336,,,,,,,
"REDEEMED, HOW I LOVE TO PROCLAIM IT (G)",335,,,,,,,
REJOICE IN THE LORD (Eb),680,,,,,,,
REJOICE IN THE LORD ALWAYS (F),620,,,,,,,
"REJOICE, THE LORD IS KING (C/Db)",43,,,,,,,
"REJOICE, YE PURE IN HEART (F)",568,,,,,,,
RESCUE THE PERISHING (Bb),343,,,,,,,
REVIVE US AGAIN (F),636,,,,,,,
RING THE BELLS (C),210,,,,,,,
RING THE BELLS OF HEAVEN (Ab),367,,,,,,,
"RISE UP, O MEN OF GOD (F)",662,,,,,,,
ROCK OF AGES (Bb),392,,,,,,,
SATISFIED (D),359,,,,,,,
SAVED BY GRACE (Eb),350,,,,,,,
SAVED BY THE BLOOD (Db),375,,,,,,,
"SAVED, SAVED! (Ab)",373,,,,,,,
"SAVIOR, LIKE A SHEPHERD LEAD US (D)",135,,,,,,,
"Savior, Thy dying love Thou gavest me (F)",423,,,,,,,
SEARCH ME (C),499,,,,,,,
"SEARCH ME, O GOD (F)",497,,,,,,,
SEEK YE FIRST (Eb),411,,,,,,,
SEND THE LIGHT (G),656,,,,,,,
SERVANT’S HEART (Eb),431,,,,,,,
"Set my heart, O dear Father (F)",412,,,,,,,
Shadows are falling; time marches on (Bbm/Bb),585,,,,,,,
SHALL WE GATHER AT THE RIVER? (C),612,,,,,,,
"SILENT NIGHT, HOLY NIGHT (Bb)",190,,,,,,,
Simply trusting ev’ry day (F),678,,,,,,,
SINCE I HAVE BEEN REDEEMED (F),337,,,,,,,
SINCE JESUS CAME INTO MY HEART (Ab),351,,,,,,,
SING HALLELUJAH (Cm),58,,,,,,,
SING PRAISE TO GOD (D),75,,,,,,,
Sing the wondrous love of Jesus (C),602,,,,,,,
Sing them over again to me (F),181,,,,,,,
Sing to the Savior a song of praise (C),35,,,,,,,
SING WE NOW OF CHRISTMAS (Em),202,,,,,,,
SINGING I GO (G),539,,,,,,,
Sinners Jesus will receive (C),340,,,,,,,
SO SEND I YOU (F),655,,,,,,,
SOFTLY AND TENDERLY (G),484,,,,,,,
"SOLDIERS OF CHRIST, ARISE (D)",659,,,,,,,
Some day life’s journey will be o’er (F),154,,,,,,,
Some day the silver cord will break (Eb),350,,,,,,,
Some day you’ll hear God’s final call to you (G),480,,,,,,,
Some glad morning when this life is o’er (G),617,,,,,,,
Some glorious morning sorrow will cease (G),591,,,,,,,
SOME GOLDEN DAYBREAK (G),591,,,,,,,
SOMETHING FOR THEE (F),423,,,,,,,
Sometimes when life seems gentle (D),505,,,,,,,
SONG FOR THE NATIONS (Ab),468,,,,,,,
SOUND THE BATTLE CRY (Ab),671,,,,,,,
"SPEAK, LORD (C)",512,,,,,,,
"SPEAK, O LORD (C)",513,,,,,,,
"SPIRIT OF GOD, DESCEND UPON MY HEART (Bb)",520,,,,,,,
SPIRIT OF THE LIVING GOD (F),519,,,,,,,
SPRINGS OF LIVING WATER (G),369,,,,,,,
STAND UP AND BLESS THE LORD (G),64,,,,,,,
"STAND UP, STAND UP FOR JESUS (GEIBEL) (F)",663,,,,,,,
"STAND UP, STAND UP FOR JESUS (WEBB) (Ab)",665,,,,,,,
Standing by a purpose true (G),668,,,,,,,
STANDING ON THE PROMISES (Ab),395,,,,,,,
"STILL, STILL, STILL (C)",230,,,,,,,
STRONG IN SALVATION (C),80,,,,,,,
SUN OF MY SOUL (F),142,,,,,,,
SURELY GOODNESS AND MERCY (Eb),544,,,,,,,
SWEET BEULAH LAND (F),631,,,,,,,
SWEET HOUR OF PRAYER (C),516,,,,,,,
"Sweetly, Lord, have we heard Thee calling (Eb)",262,,,,,,,
"Take me now, Lord Jesus, take me (D)",424,,,,,,,
"TAKE MY LIFE, AND LET IT BE CONSECRATED (F)",405,,,,,,,
TAKE THE NAME OF JESUS WITH YOU (Ab),652,,,,,,,
TAKE TIME TO BE HOLY (F),413,,,,,,,
Take your stand with the Son of God (Ab),673,,,,,,,
TEACH ME YOUR WORD (C),460,,,,,,,
TELL IT TO JESUS (G),508,,,,,,,
"TELL ME THE OLD, OLD STORY (Bb)",360,,,,,,,
TELL ME THE STORY OF JESUS (D),357,,,,,,,
TEN THOUSAND ANGELS (D),306,,,,,,,
TEN THOUSAND HALLELUJAHS (Ab),220,,,,,,,
"THANK YOU, JESUS (F)",566,,,,,,,
"THANK YOU, LORD (THANK YOU, LORD) (F)",266,,,,,,,
"THANK YOU, LORD (LYNCH) (Ab)",561,,,,,,,
THAT BEAUTIFUL NAME (G),269,,,,,,,
THE BANNER OF THE CROSS (Ab),676,,,,,,,
THE BIBLE STANDS (G),184,,,,,,,
THE BIRTHDAY OF A KING (G),191,,,,,,,
THE CHURCH’S ONE FOUNDATION (D/Eb),575,,,,,,,
THE CLEANSING WAVE (D),362,,,,,,,
The cross it standeth fast (Bb),318,,,,,,,
The cross upon which Jesus died (G),347,,,,,,,
THE FAMILY OF GOD (F),188,,,,,,,
THE FIRST NOEL (C),204,,,,,,,
THE GOD OF ABRAHAM PRAISE (Em),82,,,,,,,
THE GOD OF THE IMPOSSIBLE (Bb),92,,,,,,,
THE GOSPEL SONG (C/Db),363,,,,,,,
THE HAVEN OF REST (G),527,,,,,,,
THE HOLY HEART (D),315,,,,,,,
The heavens shimmer round the Babe in silence (Ab),220,,,,,,,
THE JOY OF THE LORD (D),546,,,,,,,
THE KING OF LOVE MY SHEPHERD IS (Eb),268,,,,,,,
THE KINGDOM OF GOD (Bb),630,,,,,,,
THE LIGHT OF THE WORLD (Em),265,,,,,,,
THE LIGHT OF THE WORLD IS JESUS (F),267,,,,,,,
THE LILY OF THE VALLEY (F),251,,,,,,,
THE LORD BLESS YOU AND KEEP YOU (C),571,,,,,,,
THE LORD IS GOOD (F),567,,,,,,,
The Lord is my Shepherd (Eb),446,,,,,,,
THE LORD’S MY SHEPHERD (Eb),152,,,,,,,
"The Lord’s our Rock, in Him we hide (Eb)",171,,,,,,,
THE LORD’S PRAYER (Bb),496,,,,,,,
THE LOVE OF GOD (D),108,,,,,,,
THE MAJESTY AND GLORY OF YOUR NAME (C) ,41,,,,,,,
THE MEETING IN THE AIR (C),587,,,,,,,
THE MERCIES OF GOD (Ab),90,,,,,,,
THE OLD RUGGED CROSS (Bb),310,,,,,,,
THE OLD-TIME RELIGION (Bb),374,,,,,,,
THE POWER OF THE CROSS (C),290,,,,,,,
THE PRAISE SONG (C),52,,,,,,,
THE SANDS OF TIME ARE SINKING (Eb),606,,,,,,,
THE SAVIOR IS WAITING (F),486,,,,,,,
THE SECRET PLACE (F),176,,,,,,,
THE SOLID ROCK (F),383,,,,,,,
THE STAR-SPANGLED BANNER (Ab),696,,,,,,,
THE STEPS OF A GOOD MAN (C),467,,,,,,,
THE TREES OF THE FIELD (Fm),59,,,,,,,
The trusting heart to Jesus clings (G),539,,,,,,,
THE WAY OF THE CROSS LEADS HOME (G),300,,,,,,,
The whole world was lost in the darkness of sin (PHILIP) (Em),265,,,,,,,
The whole world was lost in the darkness of sin (LIGHT OF THE WORLD) (F),267,,,,,,,
THE WONDER OF IT ALL (Bb),116,,,,,,,
THERE IS A FOUNTAIN (Bb),309,,,,,,,
There is a Fountain opened for my cleansing (G),314,,,,,,,
There is a name I love to hear (O HOW I LOVE JESUS) (G),248,,,,,,,
There is a name I love to hear (SAVIOR’S NAME) (F),259,,,,,,,
There is a place of quiet rest (C),510,,,,,,,
THERE IS A REDEEMER (D),365,,,,,,,
There is a rest in ev’ry woe (C),242,,,,,,,
There is a song in my heart today (C),526,,,,,,,
There is coming a day (G),627,,,,,,,
There is joy in serving Jesus (F),536,,,,,,,
There is never a day so dreary (G),246,,,,,,,
THERE IS PEACE IN THE NAME OF JESUS (C/Db/D),538,,,,,,,
THERE IS POWER IN THE BLOOD (Ab),298,,,,,,,
THERE IS SUNSHINE IN MY SOUL (G),542,,,,,,,
THERE SHALL BE SHOWERS OF BLESSING (Bb),555,,,,,,,
There will never be a sweeter story (G),545,,,,,,,
There’s a call comes ringing o’er the restless wave (G),656,,,,,,,
There’s a land that is fairer than day (F),603,,,,,,,
There’s a peace in my heart (C),390,,,,,,,
There’s a royal banner given for display (Ab),676,,,,,,,
THERE’S A SONG IN THE AIR! (F),211,,,,,,,
THERE’S A WIDENESS IN GOD’S MERCY (Bb),91,,,,,,,
There’s going to be a meeting in the air (C),587,,,,,,,
There’s not a friend like the lowly Jesus (F),271,,,,,,,
THERE’S ROOM AT THE CROSS (G),347,,,,,,,
There’s the wonder of sunset at evening (Bb),116,,,,,,,
There’s within my heart a melody (G),541,,,,,,,
They bound the hands of Jesus (D),306,,,,,,,
THINE BE THE GLORY (Eb),70,,,,,,,
THIS IS MY FATHER’S WORLD (Eb),147,,,,,,,
THIS IS THE DAY (Eb),622,,,,,,,
THIS WORLD IS NOT MY HOME (G),708,,,,,,,
Tho Satan’s weights would pull me down (D),454,,,,,,,
Tho the road ahead may be uncertain (Ab),166,,,,,,,
THOU ART WORTHY (Ab),67,,,,,,,
THOU DIDST LEAVE THY THRONE (D),218,,,,,,,
Thou my everlasting portion (F),408,,,,,,,
"Thou, Whom seraphs joy in praising (C)",62,,,,,,,
Though dark be the night and long be the day (C),467,,,,,,,
Though the angry surges roll (Bb),178,,,,,,,
THROUGH THE EYES OF CHRIST (G),643,,,,,,,
Thy mercy is my only need (G),482,,,,,,,
TILL THE STORM PASSES BY (Db),687,,,,,,,
’TIS SO SWEET TO TRUST IN JESUS (G),679,,,,,,,
’Tis the grandest theme through the ages rung (G),163,,,,,,,
TO GOD BE THE GLORY (G/Ab),79,,,,,,,
TO WHOM MUCH HAS BEEN GIVEN (G),425,,,,,,,
TRUST HIS WORD (Ab),182,,,,,,,
TRUSTING JESUS (F),678,,,,,,,
TRY MY HEART (C),133,,,,,,,
TURN YOUR EYES UPON JESUS (F),253,,,,,,,
UNDER HIS WINGS (C),174,,,,,,,
UNTIL THEN (Bb),598,,,,,,,
Up Calvary’s mountain one dreadful morn (D),294,,,,,,,
VICTORY IN JESUS (F),353,,,,,,,
WALK WORTHY OF THE LORD (Bb),457,,,,,,,
Walking in sunlight all of my journey (F),532,,,,,,,
WE ARE MORE THAN CONQUERORS (C),669,,,,,,,
We are often tossed and driv’n (F),619,,,,,,,
WE ARE YOUR CHURCH (F),579,,,,,,,
We gather in God’s presence (G),425,,,,,,,
WE GATHER TOGETHER (C/Db),558,,,,,,,
WE HAVE AN ANCHOR (F),391,,,,,,,
We have heard the joyful sound (LIMPSFIELD) (C) ,341,,,,,,,
We have heard the joyful sound (JESUS SAVES) (F),342,,,,,,,
"We praise Thee, O God! for the Son of Thy love (F)",636,,,,,,,
WE THANK THEE (Eb),565,,,,,,,
WE THREE KINGS OF ORIENT ARE (Em/G),221,,,,,,,
WE’LL UNDERSTAND IT BETTER BY AND BY (F),619,,,,,,,
WE’RE MARCHING TO ZION (F),621,,,,,,,
WE’VE A STORY TO TELL TO THE NATIONS (Eb),651,,,,,,,
Weep not! Weep not! Weep no more (Bb),69,,,,,,,
WELCOME HOME (Eb),610,,,,,,,
WERE YOU THERE? (Eb),324,,,,,,,
WHAT A DAY THAT WILL BE (G),627,,,,,,,
"What a fellowship, what a joy divine (Ab)",139,,,,,,,
WHAT A FRIEND WE HAVE IN JESUS (F),244,,,,,,,
WHAT A MIGHTY GOD WE SERVE! (D),704,,,,,,,
What a privilege to come into God’s presence (C),13,,,,,,,
What a wonderful change in my life (Ab),351,,,,,,,
WHAT A WONDERFUL SAVIOR! (Db),256,,,,,,,
What a wondrous message in God’s Word! (Ab),339,,,,,,,
What can wash away my sin? (F),308,,,,,,,
WHAT CHILD IS THIS? (Em),236,,,,,,,
WHAT GRACE IS MINE (C),132,,,,,,,
WHAT IF IT WERE TODAY? (C),590,,,,,,,
What though the way be lonely (F),145,,,,,,,
WHAT WILL YOU DO WITH JESUS? (C),485,,,,,,,
WHAT WONDROUS LOVE IS THIS? (DORIAN mode),104,,,,,,,
When all my labors and trials are o’er (G),586,,,,,,,
When engulfed by the terror (Fm/Ab),601,,,,,,,
WHEN HE COMETH (D),594,,,,,,,
WHEN I CAN READ MY TITLE CLEAR (G),618,,,,,,,
When I consider the work of Thy hands (D),47,,,,,,,
When I enter heaven’s glory (C),451,,,,,,,
When I saw the cleansing fountain (D),5,,,,,,,
WHEN I SEE THE BLOOD (Bb),317,,,,,,,
WHEN I SURVEY THE WONDROUS CROSS (HAMBURG) (F/Gm/G),293,,,,,,,
WHEN I SURVEY THE WONDROUS CROSS (O WALY WALY) (F),292,,,,,,,
When Jesus comes to reward His servants (Ab),593,,,,,,,
WHEN MORNING GILDS THE SKIES (Bb),71,,,,,,,
When my life work is ended (FLORA) (Bb),613,,,,,,,
When my life work is ended (SAVIOR FIRST) (G),614,,,,,,,
When my way seems dark and drear (Bb),685,,,,,,,
When peace like a river attendeth my way (C/Db),529,,,,,,,
When shadows fall and the night covers all (C),165,,,,,,,
WHEN THE ROLL IS CALLED UP YONDER (G),607,,,,,,,
When the race still lies before me (F),682,,,,,,,
When the trumpet of the Lord shall sound (G),607,,,,,,,
When upon life’s billows you are tempest tossed (Db),564,,,,,,,
WHEN WE ALL GET TO HEAVEN (C),602,,,,,,,
When we walk with the Lord in the light (F),385,,,,,,,
When you count the ones who love the Lord (C),422,,,,,,,
WHERE HE LEADS ME I WILL FOLLOW (F),487,,,,,,,
While by the sheep we watched at night (C/Am),198,,,,,,,
WHILE SHEPHERDS WATCHED THEIR FLOCKS (C) ,216,,,,,,,
WHISPER A PRAYER (G),495,,,,,,,
WHITER THAN SNOW (G),498,,,,,,,
Who can cheer the heart like Jesus (G),525,,,,,,,
WHO IS HE IN YONDER STALL? (Ab),212,,,,,,,
WHO IS ON THE LORD’S SIDE? (Bb),667,,,,,,,
"“Whosoever heareth,” shout, shout the sound! (C)",658,,,,,,,
“WHOSOEVER WILL” (C),658,,,,,,,
WHY DO I SING ABOUT JESUS? (G),249,,,,,,,
WHY SHOULD HE LOVE ME SO? (Bb),101,,,,,,,
Why should I feel discouraged? (C),164,,,,,,,
WILL JESUS FIND US WATCHING? (Ab),593,,,,,,,
Will your anchor hold in the storms of life (F),391,,,,,,,
WINGS AS EAGLES (F),682,,,,,,,
Wise men journeyed from afar (Dm),234,,,,,,,
WITH MY WHOLE HEART (C),77,,,,,,,
With my whole heart I humbly seek you (G),418,,,,,,,
WITHOUT HIM (F),386,,,,,,,
WONDERFUL GRACE OF JESUS (C),127,,,4/9/2017,,,,
"WONDERFUL, JESUS IS TO ME (G)",706,,,,,,,
"WONDERFUL, MERCIFUL SAVIOR (C)",263,,,,,,,
WONDERFUL PEACE (G),531,,,,,,,
"WONDERFUL, WONDERFUL JESUS (G)",246,,,,,,,
WONDERFUL WORDS OF LIFE (F),181,,,,,,,
"WORK, FOR THE NIGHT IS COMING (Eb)",588,,,,,,,
WORSHIP THE LORD (C),35,,,,,,,
WORTHY IS THE LAMB (Bb),69,,,,,,,
WORTHY IS THE LAMB THAT WAS SLAIN (Bb),68,,,,,,,
WORTHY OF PRAISE (G),53,,,,,,,
WORTHY OF WORSHIP (F),23,,,,,,,
Would you be free from your burden of sin? (Ab),298,,,,,,,
WOUNDED FOR ME (Db),301,,,,,,,
YE SERVANTS OF GOD (G),60,,,,,,,
Ye shall go out with joy (Fm),59,,,,,,,
Years I spent in vanity and pride (C),278,,,,,,,
"YESTERDAY, TODAY, FOREVER (G)",93,,,,,,,
YIELD NOT TO TEMPTATION (G),419,,,,,,,
YOU ARE MY FORTRESS (Eb),173,,,,,,,
You have longed for sweet peace (Eb),491,,,,,,,
You’re the Word of God the Father (D),15,,,,,,,
A MIGHTY FORTRESS IS OUR GOD (C),172,⭐️⭐️⭐️⭐️,Really Old and Doctrinal,4/23/2017,,,,
ALL CREATURES OF OUR GOD AND KING (D/Eb),36,⭐️⭐️⭐️,Really Old and Doctrinal,4/23/2017,,,,
AM I A SOLDIER OF THE CROSS? (Eb),664,⭐️⭐️⭐️⭐️,Really Old and Doctrinal,,,,,
"ARISE, MY SOUL, ARISE (Ab)",666,⭐️⭐️⭐️⭐️⭐️,Really Old and Doctrinal,,,,,
ALAS! AND DID MY SAVIOR BLEED? (G),280,⭐️⭐️⭐️,"Really Old and Doctrinal,Old and Familiar",,,,,
ALL HAIL THE POWER OF JESUS’ NAME (DIADEM) (Ab),45,⭐️⭐️⭐️⭐️,"Old and Familiar,Really Old and Doctrinal",,,,,
AMAZING GRACE (G/Ab),130,⭐️⭐️⭐️⭐️,"Old and Familiar,Really Old and Doctrinal",,,,,
AND CAN IT BE? (G),111,⭐️⭐️⭐️⭐️⭐️,"Really Old and Doctrinal,Old and Familiar",,,,,
AT CALVARY (C),278,⭐️⭐️⭐️,"Really Old and Doctrinal,Old and Familiar",,,,,
"BE STILL, MY SOUL (F)",528,⭐️⭐️⭐️⭐️⭐️,"Really Old and Doctrinal,Old and Familiar",,,,,
A NEW NAME IN GLORY (Ab),623,⭐️⭐️⭐️,Old and Familiar,,,,,
A pilgrim was I and a-wand’ring (Eb),544,⭐️⭐️⭐️,Old and Familiar,,,,,
A SHELTER IN THE TIME OF STORM (Eb),171,⭐️⭐️⭐️,Old and Familiar,,,,,
All my life-long I had panted (D),359,⭐️⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
ALL THAT THRILLS MY SOUL (G),525,⭐️⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
ALL THE WAY MY SAVIOR LEADS ME (G),136,⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
ALL YOUR ANXIETY (Eb),162,⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
ANYWHERE WITH JESUS (D),415,⭐️⭐️⭐️,Old and Familiar,,,,,
